FECHA;IDENTIFICACION;ID_POST;TITULAR;COMENTARIOS;ARCHIVO
30/04/2021;46;posts/3495583733874882;Hoy también han llegado a nuestro país más de 200.000 nuevas dosis de #VacunaCOVID19 de #Moderna para su distribución entre las #CCAA. Esta semana nuestro país distribuye cerca de 4 millones de dosis de las 4 vacunas autorizadas;1200;20210430-SinProcesar.csv
03/05/2021;47;posts/3504436309656291;Más de 5 millones de personas cuentan ya con la pauta completa de #VacunaCOVID19 en nuestro país;396;20210503-SinProcesar.csv
07/05/2021;48;posts/3514834511949804;Hoy se distribuyen entre las #CCAA más de 300.000 nuevas dosis de #VacunaCOVID19 de #Moderna ;1100;20210507-SinProcesar.csv
12/05/2021;49;posts/3531017900331465;Hoy también se distribuyen entre las #CCAA un total de 138.000 nuevas dosis de #VacunaCOVID19 de #Janssen ;1500;20210512a-SinProcesar.csv
12/05/2021;50;posts/3530267043739884;Hoy se distribuyen entre las Comunidades Autónomas más de 300.000 nuevas dosis de #VacunaCOVID19 de #AstraZeneca ;959;20210512b-SinProcesar.csv
13/05/2021;51;posts/3533271883439400;Hoy se distribuyen entre las #CCAA más de 300.000 nuevas dosis de la #VacunaCOVID de #Moderna. Esta semana han llegado a nuestro país más de 2,4 millones de dosis de las 4 vacunas autorizadas;1400;20210513-SinProcesar.csv
17/05/2021;52;posts/3545405542226034;Hoy se distribuyen entre las Comunidades Autónomas más de 1.700.000 nuevas dosis de #VacunaCOVID19 de #Pfizer/BioNTech ;1900;20210517-SinProcesar.csv
20/05/2021;53;posts/3554819377951317;Hoy se distribuyen entre las Comunidades Autónomas más de 165.000 nuevas dosis de la #VacunaCOVID19 de #Janssen ;411;20210520-SinProcesar.csv
24/05/2021;54;posts/3567349783364943;Hoy también se ha procedido a la distribución de más de 260.000 nuevas dosis de la vacuna contra la COVID-19 de AstraZeneca entre las Comunidades Autónomas ;1600;20210524a-SinProcesar.csv
24/05/2021;55;posts/3566365780130010;Hoy se distribuyen más de 1.700.000 nuevas dosis de la #VacunaCOVID19 de #Pfizer/BioNTech entre las Comunidades Autónomas.;1800;20210524b-SinProcesar.csv
26/05/2021;56;posts/3573737502726171;El próximo lunes llegan a España 1,3 millones de dosis de #VacunaCOVID19 de AstraZeneca y en la primera semana de junio llegarán a nuestro país 2,4 millones de dosis de Pfizer/BioNTech. Ya se han administrado 25,2 millones de dosis #VacunaCOVID. Más de 8,4 millones de personas tienen pauta completa. El 36,2% de la población cuenta con, al menos, una dosis;2200;20210526-SinProcesar.csv
28/05/2021;57;posts/3578709835562271;Hoy se distribuyen entre las #CCAA más de 360.000 nuevas dosis de la #VacunaCOVID19 de #Janssen ;1600;20210528-SinProcesar.csv
31/05/2021;58;posts/3588468141253107;Hoy también se distribuyen más de 313.000 nuevas dosis de la #VacunaCOVID19 de #Moderna ;917;20210531a-SinProcesar.csv
